Name,Link,ClassName
Microsoft,https://jobs.careers.microsoft.com/global/en/search?lc=United%20States&et=Internship&l=en_us&pg=1&pgSz=20&o=Relevance&flt=true,CSS:.MZGzlrn8gfgSs8TZHhv2
Uber,https://www.uber.com/us/en/careers/list/?department=University&location=USA-California-San%20Francisco&location=USA-California-Culver%20City&location=USA-California-Sunnyvale&location=USA-New%20York-New%20York&location=USA-Illinois-Chicago&location=USA-Washington-Seattle&location=USA-Florida-Miami&location=USA-Texas-Dallas&location=USA-Arizona-Phoenix&location=USA-District%20of%20Columbia-Washington&location=USA-Massachusetts-Boston,CSS:.css-fYOjwv
Google,https://www.google.com/about/careers/applications/jobs/results/?category=DATA_CENTER_OPERATIONS&category=DEVELOPER_RELATIONS&category=HARDWARE_ENGINEERING&category=INFORMATION_TECHNOLOGY&category=MANUFACTURING_SUPPLY_CHAIN&category=NETWORK_ENGINEERING&category=PRODUCT_MANAGEMENT&category=PROGRAM_MANAGEMENT&category=SOFTWARE_ENGINEERING&category=TECHNICAL_INFRASTRUCTURE_ENGINEERING&category=TECHNICAL_SOLUTIONS&category=TECHNICAL_WRITING&category=USER_EXPERIENCE&jex=ENTRY_LEVEL&src=Online%2FGoogle%20Website%2FByF&employment_type=INTERN&employment_type=FULL_TIME&employment_type=PART_TIME&employment_type=TEMPORARY&location=United%20States,CSS:.QJPWVe
Nvidia,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/jobs?workerSubType=0c40f6bd1d8f10adf6dae42e46d44a17&locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,CSS:.css-19uc56f
Meta,https://www.metacareers.com/jobs?sort_by_new=true&roles[0]=Internship,CSS:._6g3g.x10lme4x.x26uert.xngnso2.x117nqv4.x1mnlqng.x1e096f4 
Netflix,https://explore.jobs.netflix.net/careers?domain=netflix.com&query=%22internship%22%20-intern&pid=790299250747&sort_by=relevance,CSS:.position-title.line-clamp.line-clamp-2
AWS,https://amazon.jobs/content/en/teams/amazon-web-services/internships?country%5B%5D=US,CSS:div h3 a
Pinterest,https://www.pinterestcareers.com/jobs/?orderby=0&pagesize=20&page=1&radius=100&team=University,CSS:.stretched-link.js-view-job
Amazon,https://www.amazon.jobs/en/search?offset=0&result_limit=10&sort=recent&country%5B%5D=USA&distanceType=Mi&radius=24km&latitude=&longitude=&loc_group_id=&loc_query=&base_query=intern&city=&country=&region=&county=&query_options=&,CSS:.job-link
ispace,https://jobs.lever.co/ispace-inc?commitment=Intern,CSS:.posting-title
Welch's,https://app.careerpuck.com/job-board/welchs/?departmentId=6vcaTkfP,CSS:.sc-VLMBG.dQYkAG
Apple,https://jobs.apple.com/en-us/search?location=united-states-USA&team=internships-STDNT-INTRN,CSS:.link-inline.t-intro.word-wrap-break-word
IBM,https://www.ibm.com/careers/search?field_keyword_18[0]=Internship&field_keyword_05[0]=United%20States,CSS:.bx--card-group__cards__col
Salesforce,https://careers.salesforce.com/en/jobs/?search=&country=United+States+of+America&jobtype=Intern&pagesize=20#results,CSS:.stretched-link.js-view-job
LinkedIn,https://www.linkedin.com/jobs/search/?currentJobId=4242842435&f_C=1337%2C39939%2C2587638&f_E=1&geoId=92000000&origin=JOB_SEARCH_PAGE_JOB_FILTER&spellCorrectionEnabled=true,CSS:.disabled.ember-view.job-card-container__link.pPZqzVqpSJCAkkhnjilaGKwaIUlmKnwLnMTyE.job-card-list__title--link
Intel,https://intel.wd1.myworkdayjobs.com/External?workerSubType=dc8bf79476611087dfde99931439ae75&locations=1e4a4eb3adf10118b1dfe877bf8162d0,CSS:.css-19uc56f
Autodesk,https://autodesk.wd1.myworkdayjobs.com/uni?jobFamilyGroup=f909d7cccc2d480b8f6af996c7bf8352,CSS:.css-19uc56f
Bank of America,https://careers.bankofamerica.com/en-us/students/job-search?ref=search&rows=24&search=jobsByLocation&searchstring=United+States,CSS:.job-search-tile__url.t-track-search-select-position
Blue Origin,https://www.blueorigin.com/careers/search?search=undergraduate&category=Intern&employmentType=Intern,CSS:.JobBoardListItem_link__kjhe9
Liberty Mutual,https://searchjobs.libertymutualgroup.com/careers?query=Internship&department=Technology&domain=libertymutual.com&_gl=1*3kt1pz*_gcl_au*NjY4MDI5OTI5LjE3NDg5MTMxMTc,CSS:.position-title.line-clamp.line-clamp-2
Optiver,https://optiver.com/working-at-optiver/career-opportunities/page/2/?search=internship&_gl=1*rb345g*_gcl_au*Mjk2MDM5OTE1LjE3NDg5MTM5ODQ.&numberposts=10&level=internship&paged=1,"CLICK:'//*[contains(normalize-space(), 'Load more')]'->CSS:h5"
PayPal,https://paypal.eightfold.ai/careers?query=globaluniversityintern&domain=paypal.com&sort_by=relevance,CSS:.position-title.line-clamp.line-clamp-2
Wayfair,https://www.wayfair.com/careers/jobs?countryIds=1&selectedJobTypeIds=8,CSS:.j3rpje110_714._1yimfeh6_714._1yimfehe_714._1yimfehk_714
Citadel,"https://www.citadel.com/careers/open-opportunities?experience-filter=internships&location-filter=americas,chicago,greenwich,houston,miami,new-york&selected-job-sections=388,389,387,390&current_page=1&sort_order=DESC&per_page=10&action=careers_listing_filter",CSS:h2.visible.full-visible
Airbnb,https://careers.airbnb.com/positions/?_departments=early-career-program-intern&_offices=united-states,CSS:h3.text-size-4
Cisco,https://jobs.cisco.com/jobs/SearchJobs/?21178=%5B169482%5D&21178_format=6020&21180=%5B33821095%2C165%5D&21180_format=6022&listFilterMode=1,CSS:td[data-th='Job Title']
DE Shaws,https://www.deshaw.com/careers/internships,CLICK:div.more-jobs.movable-underline->CSS:section.sc-jlZhew.eyTWIc.InternshipsJobsListing span.job-display-name
Hudson River Trading,https://www.hudsonrivertrading.com/careers/?job-type=internship%2C,CSS:.hrt-card-title-wrap a.hrt-card-title
Morgan Stanley,https://www.morganstanley.com/careers/career-opportunities-search?opportunity=sg#,CSS:.cmp-jobcard__title
Spotify,https://www.lifeatspotify.com/students,CSS:.ma-0.size-6.size-7-mobile.line-150.fw-normal.no-underline.color-ui-black.entry_title__Q0z3u
